A,B,C
594.0,229590.0,b
313.0,795927.0,a
737.0,473700.0,a
49.0,48827.0,l
631.0,627941.0,j
538.0,344480.0,h
885.0,943320.0,l
198.0,746142.0,a
96.0,92397.0,g
374.0,532100.0,a
478.0,983332.0,h
390.0,273237.0,h
221.0,156767.0,l
969.0,627094.0,a
883.0,180961.0,i
353.0,624376.0,i
988.0,861526.0,g
311.0,279157.0,b
606.0,873915.0,d
196.0,820855.0,f
213.0,203207.0,c
416.0,524357.0,j
891.0,445144.0,e
570.0,520954.0,k
243.0,554942.0,g
25.0,533156.0,f
157.0,226923.0,k
977.0,749161.0,i
249.0,71339.0,d
230.0,425754.0,g
831.0,711263.0,e
6.0,371361.0,l
544.0,76387.0,d
932.0,613495.0,h
190.0,725304.0,i
128.0,447657.0,d
790.0,827886.0,h
147.0,276081.0,l
831.0,298458.0,d
938.0,250516.0,d
270.0,59321.0,l
613.0,966721.0,j
394.0,739284.0,k
323.0,615391.0,g
832.0,678093.0,l
7.0,167075.0,j
642.0,320229.0,d
566.0,914879.0,j
176.0,786411.0,b
23.0,64756.0,l
971.0,374567.0,k
973.0,345650.0,f
972.0,790586.0,j
688.0,477026.0,l
533.0,250739.0,g
577.0,673826.0,g
254.0,634052.0,a
698.0,19321.0,c
525.0,793423.0,c
265.0,389859.0,h
538.0,237791.0,g
393.0,445083.0,j
111.0,940791.0,k
465.0,91904.0,b
712.0,161604.0,h
621.0,430973.0,g
784.0,333024.0,h
904.0,869994.0,i
2.0,868728.0,a
380.0,814243.0,i
979.0,729181.0,i
823.0,48337.0,c
541.0,544350.0,k
63.0,902362.0,k
632.0,910511.0,c
8.0,863740.0,j
251.0,71641.0,h
480.0,904314.0,j
984.0,420834.0,g
786.0,690341.0,b
678.0,543783.0,e
291.0,877025.0,f
154.0,722379.0,j
369.0,238812.0,h
156.0,69235.0,j
545.0,451697.0,a
185.0,430739.0,c
44.0,392412.0,c
735.0,380948.0,a
896.0,291876.0,h
824.0,971380.0,l
352.0,276515.0,h
834.0,276551.0,h
445.0,50158.0,b
769.0,531964.0,h
743.0,587357.0,k
374.0,832426.0,g
884.0,620269.0,i
78.0,956820.0,j
338.0,653542.0,i
713.0,186034.0,e
716.0,866349.0,k
422.0,400412.0,e
444.0,467231.0,h
678.0,354710.0,e
436.0,824626.0,h
815.0,168121.0,f
314.0,640325.0,c
552.0,596380.0,c
761.0,671322.0,j
909.0,134717.0,f
118.0,333635.0,j
527.0,820760.0,k
221.0,447610.0,k
264.0,382841.0,g
231.0,505422.0,f
945.0,680101.0,k
298.0,374681.0,b
137.0,984566.0,h
604.0,214368.0,l
423.0,613698.0,b
834.0,651288.0,a
862.0,701412.0,c
248.0,690585.0,l
854.0,770236.0,d
111.0,443447.0,f
211.0,725899.0,a
60.0,169114.0,l
365.0,730828.0,f
128.0,455765.0,e
132.0,693008.0,f
622.0,286446.0,e
684.0,455088.0,f
380.0,523372.0,h
959.0,764717.0,b
174.0,186125.0,h
355.0,762275.0,c
17.0,188039.0,h
29.0,472044.0,l
855.0,981947.0,e
993.0,706182.0,b
649.0,357020.0,g
14.0,328026.0,g
671.0,88821.0,g
520.0,555575.0,c
842.0,9428.0,h
631.0,219421.0,f
378.0,470094.0,k
303.0,17925.0,f
410.0,828317.0,j
112.0,850341.0,e
376.0,655895.0,e
613.0,476288.0,g
537.0,478040.0,i
382.0,387151.0,b
127.0,168787.0,k
955.0,830505.0,f
988.0,831713.0,c
585.0,254180.0,f
3.0,425411.0,a
71.0,776688.0,l
398.0,819261.0,g
5.0,921193.0,f
640.0,797295.0,i
85.0,231984.0,d
490.0,395244.0,a
238.0,765562.0,l
410.0,837729.0,g
633.0,513279.0,f
63.0,599843.0,l
102.0,434819.0,d
76.0,752905.0,h
784.0,108458.0,g
324.0,604738.0,a
412.0,465895.0,e
371.0,650330.0,g
844.0,705165.0,a
479.0,761803.0,f
167.0,239599.0,l
56.0,623159.0,h
774.0,680073.0,k
184.0,459583.0,l
309.0,559533.0,c
629.0,315003.0,j
502.0,663096.0,k
4.0,953858.0,l
418.0,335299.0,h
331.0,826889.0,d
572.0,823749.0,j
167.0,121541.0,c
894.0,940513.0,b
499.0,297316.0,c
730.0,694767.0,a
307.0,418903.0,e
696.0,833591.0,i
458.0,776201.0,l
119.0,767161.0,g
358.0,795336.0,h
67.0,670945.0,f
409.0,498489.0,c
684.0,184923.0,g
940.0,906427.0,e
810.0,978933.0,e
422.0,26819.0,c
668.0,11523.0,j
901.0,7724.0,i
249.0,469463.0,d
572.0,545062.0,e
187.0,142819.0,b
896.0,835285.0,j
379.0,728263.0,d
776.0,82159.0,c
65.0,991861.0,k
738.0,668842.0,c
745.0,872868.0,a
920.0,266158.0,h
448.0,298628.0,g
286.0,212520.0,a
482.0,950586.0,h
883.0,314565.0,l
566.0,190965.0,h
172.0,996500.0,a
916.0,957611.0,b
784.0,861675.0,d
350.0,224942.0,d
507.0,796129.0,c
524.0,731590.0,d
203.0,150567.0,k
325.0,766471.0,d
600.0,4707.0,b
576.0,276985.0,c
818.0,264943.0,a
274.0,36504.0,g
269.0,826540.0,e
852.0,419859.0,l
525.0,70727.0,a
399.0,817548.0,l
189.0,973087.0,c
11.0,160977.0,h
434.0,404569.0,j
974.0,699289.0,f
744.0,397277.0,e
17.0,790325.0,i
207.0,677711.0,i
488.0,614362.0,f
98.0,480793.0,d
326.0,402792.0,j
622.0,506925.0,c
678.0,481262.0,b
435.0,84917.0,l
341.0,407911.0,f
692.0,243383.0,l
364.0,983148.0,e
75.0,30542.0,k
834.0,734248.0,b
311.0,956154.0,i
654.0,514020.0,b
274.0,677297.0,l
908.0,187191.0,j
558.0,298864.0,g
724.0,881521.0,i
682.0,858960.0,e
264.0,190003.0,k
922.0,609192.0,i
89.0,191141.0,c
515.0,39325.0,f
520.0,58470.0,g
227.0,740866.0,l
124.0,865788.0,k
794.0,245708.0,l
952.0,124271.0,b
487.0,580060.0,g
298.0,116351.0,f
320.0,893933.0,k
350.0,30715.0,c
314.0,190574.0,h
302.0,487384.0,i
731.0,129497.0,c
745.0,534570.0,l
120.0,722827.0,g
30.0,583390.0,k
194.0,489500.0,i
14.0,214784.0,h
780.0,934219.0,k
590.0,56339.0,k
162.0,197814.0,e
811.0,13794.0,l
956.0,563881.0,l
726.0,729371.0,g
243.0,481515.0,d
82.0,965675.0,d
889.0,644086.0,l
305.0,210746.0,h
61.0,915149.0,d
834.0,348005.0,d
468.0,694287.0,e
530.0,31534.0,c
801.0,257267.0,b
878.0,931262.0,f
809.0,575040.0,h
889.0,913378.0,j
448.0,56788.0,k
292.0,906510.0,d
135.0,858191.0,i
318.0,435811.0,j
765.0,674629.0,g
682.0,972486.0,a
859.0,306221.0,j
838.0,746958.0,a
818.0,287328.0,a
657.0,594810.0,b
751.0,31669.0,a
711.0,411893.0,g
556.0,457614.0,f
404.0,383541.0,c
748.0,495685.0,j
892.0,382927.0,e
993.0,504367.0,g
273.0,389759.0,c
137.0,349808.0,g
102.0,313710.0,a
359.0,510621.0,a
806.0,170889.0,h
714.0,788715.0,i
252.0,916820.0,c
9.0,143781.0,k
605.0,515592.0,g
522.0,180361.0,k
662.0,748104.0,a
768.0,179631.0,c
169.0,31420.0,b
264.0,560620.0,d
969.0,803287.0,j
196.0,703121.0,k
233.0,379463.0,f
708.0,243039.0,b
815.0,583498.0,c
785.0,963684.0,i
478.0,301433.0,i
71.0,33978.0,j
889.0,66245.0,g
368.0,349393.0,l
41.0,545951.0,a
410.0,727742.0,l
176.0,863247.0,e
908.0,493880.0,c
131.0,254853.0,b
157.0,545433.0,g
252.0,487700.0,h
809.0,376308.0,g
795.0,351743.0,l
496.0,141746.0,e
73.0,993473.0,b
714.0,273209.0,f
56.0,538737.0,j
431.0,169687.0,d
178.0,563504.0,b
65.0,489071.0,e
228.0,838082.0,h
361.0,565674.0,g
699.0,760430.0,b
478.0,598452.0,f
617.0,684133.0,c
52.0,718722.0,h
277.0,864452.0,e
104.0,879343.0,b
924.0,94276.0,j
832.0,947794.0,k
842.0,586181.0,b
635.0,422123.0,e
66.0,275111.0,b
879.0,851877.0,g
537.0,293141.0,c
610.0,314216.0,c
182.0,612362.0,e
799.0,855302.0,k
237.0,14427.0,f
134.0,355746.0,b
380.0,577180.0,i
556.0,130579.0,e
792.0,470630.0,d
996.0,458675.0,i
417.0,328331.0,c
336.0,165825.0,k
635.0,935289.0,e
760.0,193115.0,g
172.0,483960.0,g
99.0,345908.0,k
427.0,907450.0,h
543.0,192311.0,k
467.0,491994.0,b
154.0,369121.0,e
687.0,401757.0,f
732.0,166739.0,f
994.0,862959.0,h
774.0,791328.0,k
231.0,255395.0,j
29.0,180375.0,a
467.0,54955.0,e
865.0,504245.0,l
564.0,370789.0,g
465.0,865751.0,l
171.0,354779.0,c
440.0,8390.0,e
788.0,774254.0,i
618.0,840997.0,c
179.0,705890.0,c
896.0,65865.0,h
809.0,123899.0,l
660.0,656369.0,k
989.0,557431.0,i
467.0,971823.0,d
464.0,376421.0,b
263.0,616931.0,e
352.0,497073.0,e
835.0,124209.0,h
927.0,347852.0,l
811.0,553385.0,c
758.0,494927.0,f
553.0,72496.0,e
183.0,408743.0,k
190.0,898757.0,f
238.0,893549.0,d
611.0,668575.0,b
250.0,457166.0,i
789.0,157053.0,j
315.0,362326.0,f
538.0,786008.0,j
76.0,288415.0,g
116.0,461784.0,a
208.0,420122.0,a
295.0,740887.0,g
502.0,707416.0,i
624.0,112268.0,b
497.0,39911.0,l
526.0,427663.0,d
754.0,226241.0,e
998.0,807313.0,l
312.0,896461.0,a
658.0,182429.0,l
981.0,571261.0,k
238.0,809121.0,c
631.0,129260.0,a
710.0,47440.0,c
257.0,376547.0,a
772.0,366680.0,k
351.0,516648.0,h
39.0,918621.0,i
489.0,696517.0,k
355.0,192449.0,h
310.0,513937.0,b
589.0,884891.0,g
681.0,498594.0,l
400.0,950230.0,e
985.0,941924.0,j
66.0,997316.0,a
113.0,243851.0,b
310.0,953332.0,i
511.0,836441.0,g
98.0,407701.0,c
454.0,829338.0,k
769.0,633815.0,e
528.0,418533.0,a
442.0,488807.0,g
253.0,744986.0,e
161.0,849123.0,l
838.0,485251.0,h
191.0,69268.0,e
906.0,323831.0,h
149.0,414095.0,f
493.0,23024.0,l
889.0,268404.0,k
529.0,114858.0,h
113.0,429914.0,c
886.0,630760.0,j
976.0,390823.0,a
991.0,507229.0,d
823.0,925073.0,b
620.0,999341.0,a
300.0,478478.0,g
853.0,910850.0,k
781.0,984747.0,k
806.0,276004.0,i
137.0,119794.0,c
369.0,142661.0,h
787.0,371964.0,k
80.0,214856.0,f
130.0,20085.0,h
232.0,718327.0,l
50.0,419421.0,d
727.0,255021.0,h
618.0,204453.0,h
725.0,983636.0,b
502.0,157839.0,h
641.0,800803.0,j
788.0,912799.0,b
48.0,901227.0,j
554.0,760476.0,b
774.0,600574.0,g
794.0,935269.0,l
339.0,907981.0,k
30.0,78596.0,d
797.0,244894.0,l
469.0,232756.0,g
248.0,354363.0,f
623.0,307254.0,d
874.0,736993.0,c
162.0,850370.0,a
585.0,917700.0,a
265.0,415541.0,h
677.0,247542.0,a
861.0,846465.0,h
133.0,268540.0,j
707.0,163969.0,l
601.0,896627.0,f
727.0,837362.0,e
803.0,461310.0,i
195.0,449722.0,a
846.0,348475.0,e
182.0,224526.0,g
569.0,80650.0,i
352.0,312234.0,d
499.0,185437.0,b
236.0,12961.0,j
784.0,280257.0,b
163.0,427368.0,d
327.0,729111.0,b
212.0,802059.0,g
176.0,189819.0,k
676.0,235082.0,j
777.0,728750.0,a
203.0,8485.0,j
433.0,736888.0,a
878.0,129201.0,h
391.0,256331.0,i
148.0,89656.0,i
85.0,726468.0,k
121.0,747751.0,c
674.0,291115.0,b
215.0,723801.0,a
852.0,168535.0,c
65.0,467849.0,b
588.0,569806.0,e
236.0,974785.0,h
421.0,34810.0,c
129.0,833340.0,j
990.0,732055.0,h
427.0,609123.0,e
331.0,987369.0,b
564.0,143190.0,g
101.0,212097.0,h
432.0,382721.0,h
157.0,634756.0,d
17.0,898630.0,d
358.0,55619.0,l
62.0,607296.0,g
763.0,821748.0,c
464.0,508474.0,f
428.0,242380.0,l
719.0,118849.0,a
16.0,783580.0,b
530.0,529222.0,i
134.0,770505.0,i
579.0,665227.0,g
169.0,621720.0,k
451.0,182086.0,a
598.0,567528.0,h
844.0,18872.0,l
33.0,255429.0,b
240.0,842131.0,j
88.0,816023.0,b
380.0,987463.0,e
485.0,908649.0,l
424.0,344066.0,h
69.0,622716.0,f
754.0,583586.0,j
849.0,571197.0,c
730.0,974417.0,a
200.0,517723.0,i
65.0,798604.0,h
305.0,239399.0,c
860.0,597194.0,h
337.0,765439.0,e
848.0,651901.0,j
562.0,250002.0,g
894.0,165487.0,d
716.0,46832.0,e
759.0,348360.0,j
615.0,302662.0,a
83.0,845322.0,j
977.0,379361.0,g
769.0,550666.0,f
729.0,832815.0,a
459.0,20987.0,b
990.0,329791.0,j
70.0,179579.0,d
287.0,836150.0,h
449.0,714735.0,h
742.0,987278.0,c
530.0,723184.0,h
465.0,182242.0,e
863.0,403960.0,a
382.0,392433.0,g
396.0,325538.0,f
792.0,122109.0,f
548.0,459117.0,d
738.0,181631.0,k
831.0,858500.0,a
894.0,175211.0,j
91.0,196336.0,f
778.0,173628.0,j
23.0,362011.0,f
758.0,586921.0,g
567.0,520277.0,i
520.0,853559.0,k
635.0,779233.0,c
105.0,880556.0,g
380.0,456018.0,j
278.0,307509.0,e
160.0,158337.0,b
629.0,82423.0,e
69.0,675480.0,f
734.0,667998.0,e
387.0,55431.0,k
852.0,129116.0,d
181.0,204376.0,i
174.0,404952.0,e
819.0,352380.0,d
363.0,381598.0,g
962.0,616218.0,l
394.0,790400.0,c
449.0,76523.0,l
531.0,753677.0,b
430.0,498576.0,j
489.0,60174.0,a
399.0,621282.0,j
243.0,572730.0,k
12.0,62313.0,k
463.0,846484.0,f
727.0,230058.0,d
188.0,4388.0,j
905.0,113793.0,i
180.0,983759.0,b
359.0,900512.0,j
368.0,223082.0,i
372.0,571323.0,b
1.0,417949.0,a
806.0,550053.0,l
844.0,907147.0,f
650.0,995956.0,f
122.0,890178.0,l
913.0,628436.0,f
917.0,637706.0,h
259.0,577056.0,e
232.0,215771.0,f
387.0,594480.0,c
959.0,572172.0,b
854.0,200306.0,e
631.0,806572.0,a
585.0,840693.0,f
398.0,32300.0,h
639.0,456235.0,g
337.0,192258.0,l
649.0,590841.0,g
161.0,952494.0,g
979.0,680350.0,i
981.0,609572.0,b
480.0,654041.0,l
477.0,631155.0,f
428.0,926869.0,e
629.0,474219.0,a
249.0,805402.0,l
593.0,111779.0,i
38.0,33022.0,a
949.0,774449.0,g
276.0,161305.0,a
34.0,566141.0,k
457.0,30014.0,e
858.0,83885.0,i
507.0,476859.0,d
991.0,941952.0,i
22.0,990997.0,f
113.0,955774.0,b
395.0,64928.0,i
939.0,747580.0,g
490.0,233355.0,l
547.0,465260.0,j
404.0,928858.0,i
604.0,913116.0,i
929.0,36301.0,i
393.0,72896.0,g
33.0,145380.0,h
351.0,616840.0,f
962.0,223633.0,j
671.0,466691.0,h
411.0,304140.0,e
733.0,492904.0,f
304.0,130652.0,a
306.0,257741.0,b
471.0,562548.0,h
471.0,793923.0,l
805.0,612204.0,d
317.0,850378.0,c
660.0,193534.0,c
6.0,269760.0,a
913.0,876447.0,b
684.0,800644.0,d
963.0,210190.0,c
884.0,898346.0,j
460.0,943491.0,e
843.0,945391.0,h
872.0,830343.0,k
121.0,117293.0,c
724.0,891207.0,c
734.0,375942.0,d
576.0,943172.0,l
631.0,394230.0,k
646.0,800572.0,g
549.0,710773.0,j
324.0,941132.0,i
491.0,118012.0,e
32.0,645182.0,i
868.0,97790.0,b
493.0,191246.0,i
15.0,358077.0,a
994.0,327927.0,e
95.0,124840.0,l
560.0,710303.0,e
535.0,711691.0,d
688.0,343532.0,d
973.0,796287.0,h
716.0,769825.0,f
173.0,517883.0,k
791.0,165212.0,j
318.0,45397.0,f
280.0,675875.0,i
288.0,237954.0,i
895.0,948471.0,h
339.0,623341.0,g
872.0,873588.0,g
290.0,918749.0,d
874.0,153491.0,c
291.0,327369.0,c
831.0,263214.0,i
301.0,963780.0,j
957.0,758351.0,j
617.0,456729.0,h
245.0,363703.0,f
265.0,457638.0,j
90.0,636546.0,l
856.0,490447.0,e
318.0,145150.0,f
226.0,801371.0,k
888.0,295708.0,a
80.0,425735.0,d
405.0,351285.0,a
133.0,144818.0,f
407.0,527303.0,c
29.0,563314.0,j
139.0,358332.0,i
527.0,583149.0,j
923.0,477783.0,l
588.0,224840.0,b
76.0,891792.0,h
801.0,100240.0,j
861.0,64088.0,b
478.0,195319.0,g
671.0,712056.0,c
475.0,239802.0,e
872.0,840489.0,a
931.0,856340.0,l
678.0,942774.0,c
335.0,463137.0,l
551.0,846439.0,k
221.0,674980.0,e
68.0,733086.0,e
408.0,591490.0,k
819.0,514669.0,e
362.0,709417.0,f
906.0,20027.0,i
233.0,13624.0,g
957.0,18629.0,b
375.0,492525.0,k
982.0,392899.0,j
231.0,687450.0,e
994.0,822033.0,d
118.0,22835.0,j
917.0,651684.0,l
960.0,268469.0,f
377.0,581609.0,a
896.0,326213.0,j
331.0,874618.0,b
103.0,344323.0,a
265.0,106260.0,l
932.0,959219.0,c
732.0,963253.0,i
762.0,775438.0,h
819.0,300095.0,c
780.0,892701.0,e
199.0,997387.0,h
352.0,596426.0,i
220.0,408025.0,k
413.0,704969.0,h
368.0,792395.0,c
907.0,518844.0,c
372.0,98158.0,j
739.0,766130.0,i
235.0,648696.0,h
404.0,937514.0,e
47.0,985769.0,b
922.0,4415.0,g
521.0,53664.0,e
795.0,465065.0,b
459.0,514940.0,l
220.0,603284.0,i
756.0,588752.0,i
224.0,157778.0,c
852.0,13693.0,h
103.0,316103.0,l
523.0,599267.0,c
488.0,879511.0,e
871.0,99419.0,e
197.0,916006.0,g
940.0,536830.0,c
341.0,577241.0,j
641.0,616124.0,g
665.0,109680.0,g
656.0,504537.0,i
202.0,22444.0,b
175.0,89219.0,j
515.0,480049.0,j
994.0,312384.0,a
953.0,189844.0,b
419.0,87477.0,c
867.0,466010.0,a
512.0,116041.0,f
848.0,56188.0,c
983.0,602761.0,d
919.0,353656.0,f
134.0,898210.0,g
963.0,697444.0,g
277.0,619854.0,f
886.0,369400.0,b
110.0,268926.0,l
204.0,817104.0,d
592.0,286809.0,d
11.0,134103.0,l
902.0,579954.0,a
769.0,886804.0,g
763.0,394793.0,e
3.0,231626.0,g
189.0,900787.0,a
546.0,742669.0,d
26.0,173103.0,k
146.0,552299.0,k
919.0,59219.0,i
236.0,685127.0,k
178.0,648947.0,k
842.0,448899.0,d
561.0,780133.0,c
378.0,128913.0,h
358.0,476541.0,g
527.0,93204.0,g
407.0,345285.0,h
338.0,24981.0,a
651.0,481475.0,d
196.0,154444.0,c
462.0,926365.0,c
944.0,286525.0,k
341.0,211899.0,c
549.0,748270.0,c
24.0,420411.0,h
569.0,589711.0,b
848.0,465997.0,j
594.0,576632.0,l
258.0,390781.0,k
306.0,781298.0,e
389.0,159108.0,l
721.0,844271.0,d
56.0,763463.0,b
729.0,905537.0,c
217.0,517141.0,a
669.0,324505.0,b
621.0,136284.0,b
721.0,144919.0,g
428.0,63394.0,c
109.0,207456.0,f
891.0,240683.0,f
407.0,606741.0,e
619.0,920595.0,d
736.0,802800.0,e
645.0,371948.0,a
735.0,631838.0,b
330.0,691474.0,j
935.0,774925.0,a
885.0,186401.0,a
452.0,751740.0,l
701.0,207362.0,f
282.0,974309.0,e
723.0,423168.0,c
576.0,115702.0,b
658.0,318749.0,f
937.0,203423.0,l
107.0,818210.0,j
80.0,318136.0,b
941.0,569739.0,a
646.0,946238.0,j
872.0,993050.0,l
931.0,634467.0,i
563.0,496861.0,l
798.0,246188.0,h
901.0,945972.0,c
33.0,987766.0,l
921.0,580513.0,h
534.0,160994.0,k
560.0,736369.0,i
373.0,905392.0,c
148.0,917235.0,a
745.0,659660.0,l
410.0,211155.0,j
25.0,217228.0,i
682.0,604629.0,k
257.0,952805.0,i
467.0,935442.0,c
853.0,316838.0,f
272.0,759339.0,f
268.0,152978.0,a
840.0,715381.0,a
189.0,708375.0,k
908.0,695739.0,b
445.0,324874.0,a
669.0,280113.0,i
100.0,922158.0,d
153.0,479381.0,h
617.0,228090.0,i
44.0,441531.0,l
369.0,580927.0,d
155.0,667806.0,c
343.0,416862.0,j
960.0,580987.0,g
828.0,108574.0,c
834.0,231659.0,h
668.0,30406.0,i
219.0,777438.0,k
397.0,339272.0,f
422.0,116300.0,a
773.0,455024.0,f
930.0,586256.0,i
101.0,611919.0,b
211.0,249113.0,a
869.0,398103.0,i
405.0,927287.0,f
58.0,628512.0,k
541.0,324287.0,i
841.0,980272.0,i
256.0,794571.0,c
1.0,514478.0,k
156.0,381533.0,i
305.0,295346.0,i
160.0,50091.0,d
785.0,256444.0,d
665.0,720378.0,d
891.0,962827.0,d
375.0,384405.0,c
882.0,522782.0,a
597.0,428530.0,i
733.0,937380.0,g
688.0,6072.0,f
507.0,647095.0,c
539.0,492068.0,b
36.0,776141.0,g
44.0,769323.0,g
201.0,967942.0,f
838.0,227692.0,k
700.0,695222.0,b
138.0,241673.0,l
741.0,938759.0,f
666.0,84215.0,e
611.0,554450.0,f
924.0,763557.0,b
729.0,249298.0,b
830.0,379109.0,d
359.0,554074.0,a
808.0,796368.0,g
164.0,473215.0,d
689.0,293220.0,c
404.0,785632.0,e
161.0,350842.0,i
797.0,497366.0,h
572.0,352742.0,h
854.0,798258.0,e
977.0,617953.0,g
876.0,293103.0,c
145.0,915117.0,d
291.0,337097.0,h
600.0,21612.0,k
328.0,435763.0,g
704.0,391772.0,c
722.0,489465.0,e
306.0,231421.0,g
941.0,575583.0,g
597.0,454448.0,h
380.0,254243.0,b
142.0,541600.0,k
547.0,369449.0,l
519.0,672424.0,l
116.0,112587.0,b
915.0,291004.0,f
881.0,752698.0,k
482.0,754749.0,g
803.0,87139.0,b
108.0,289055.0,j
173.0,115164.0,b
539.0,327704.0,j
670.0,233718.0,l
887.0,61516.0,d
548.0,751174.0,h
415.0,757510.0,i
782.0,134019.0,c
106.0,899192.0,e
907.0,279447.0,b
65.0,492593.0,i
428.0,223699.0,i
710.0,408748.0,i
672.0,930954.0,i
478.0,641496.0,a
82.0,904562.0,h
751.0,664025.0,l
792.0,200118.0,c
617.0,218615.0,j
503.0,199685.0,f
417.0,603864.0,e
928.0,389115.0,b
967.0,820934.0,i
926.0,683870.0,f
867.0,196320.0,f
468.0,982797.0,g
518.0,950798.0,j
418.0,265710.0,b
34.0,728428.0,l
606.0,727791.0,e
602.0,336693.0,h
981.0,217710.0,f
526.0,886062.0,a
696.0,542288.0,j
376.0,479005.0,e
549.0,724322.0,j
519.0,62713.0,g
991.0,312977.0,j
187.0,748376.0,f
102.0,136894.0,d
485.0,711889.0,e
778.0,480295.0,f
411.0,586137.0,h
915.0,580554.0,g
324.0,683940.0,j
633.0,675492.0,j
214.0,844439.0,i
300.0,589126.0,g
255.0,3429.0,l
967.0,282086.0,c
396.0,317527.0,h
763.0,322708.0,e
884.0,389520.0,i
72.0,650422.0,e
458.0,539817.0,f
936.0,370765.0,h
770.0,569996.0,i
890.0,195894.0,e
756.0,566679.0,f
165.0,66445.0,h
708.0,585656.0,g
118.0,435255.0,g
624.0,10140.0,l
691.0,976727.0,a
360.0,827569.0,a
724.0,478991.0,h
930.0,810884.0,d
601.0,456356.0,a
591.0,99044.0,e
437.0,195912.0,d
8.0,32341.0,l
532.0,134499.0,g
600.0,677226.0,g
790.0,824956.0,b
794.0,268648.0,a
895.0,517689.0,i
631.0,477212.0,i
288.0,590094.0,d
304.0,167971.0,l
362.0,75109.0,e
643.0,56673.0,k
284.0,824840.0,i
819.0,912836.0,h
537.0,800209.0,e
371.0,872371.0,a
390.0,983590.0,d
615.0,199127.0,f
911.0,526081.0,j
565.0,565531.0,f
973.0,732406.0,l
298.0,882115.0,a
496.0,762025.0,j
430.0,728830.0,d
58.0,187747.0,d
549.0,404935.0,k
208.0,936259.0,f
14.0,600838.0,i
859.0,446835.0,j
828.0,285099.0,j
581.0,601570.0,i
762.0,676420.0,j
483.0,159723.0,k
210.0,7010.0,i
864.0,323504.0,e
884.0,546598.0,k
271.0,609298.0,d
285.0,713464.0,c
252.0,285641.0,k
926.0,828747.0,a
501.0,794891.0,g
102.0,62895.0,g
638.0,883653.0,d
756.0,235071.0,a
440.0,67813.0,b
584.0,782239.0,d
830.0,715655.0,d
53.0,328303.0,l
692.0,829405.0,b
583.0,862430.0,g
426.0,397827.0,k
49.0,405210.0,c
161.0,869095.0,j
180.0,292403.0,h
510.0,504574.0,l
636.0,538674.0,a
989.0,772247.0,d
694.0,519037.0,c
418.0,145633.0,i
349.0,296708.0,b
741.0,18651.0,g
894.0,337420.0,e
238.0,399036.0,k
740.0,259413.0,f
599.0,412974.0,b
438.0,754039.0,i
665.0,403414.0,c
596.0,756963.0,b
647.0,605556.0,k
412.0,264238.0,f
114.0,487105.0,c
894.0,608694.0,j
323.0,340729.0,c
869.0,173965.0,j
869.0,705636.0,c
915.0,874301.0,c
571.0,194368.0,j
198.0,204395.0,l
898.0,906561.0,f
791.0,970862.0,a
552.0,712910.0,c
965.0,12131.0,i
488.0,267704.0,d
183.0,815771.0,k
942.0,323804.0,k
148.0,576955.0,i
503.0,324887.0,l
760.0,152028.0,h
253.0,620671.0,k
400.0,900404.0,a
343.0,550305.0,j
922.0,693643.0,e
812.0,317144.0,d
62.0,576240.0,k
198.0,577603.0,j
264.0,147378.0,c
392.0,227664.0,b
766.0,243226.0,i
883.0,485940.0,k
726.0,21859.0,j
35.0,304539.0,d
348.0,625801.0,a
20.0,156544.0,j
750.0,573140.0,c
793.0,940532.0,e
380.0,965458.0,f
135.0,136423.0,c
785.0,619824.0,f
308.0,222123.0,k
986.0,572209.0,a
631.0,310497.0,d
419.0,947932.0,k
434.0,305258.0,k
256.0,781097.0,a
705.0,248072.0,a
468.0,709260.0,k
763.0,925783.0,k
113.0,681252.0,h
50.0,816912.0,d
293.0,975945.0,j
6.0,396328.0,k
790.0,62244.0,j
715.0,979413.0,h
330.0,858620.0,k
116.0,460632.0,i
696.0,552255.0,l
673.0,444540.0,h
816.0,598290.0,j
37.0,354269.0,d
914.0,853274.0,b
389.0,819097.0,c
130.0,605643.0,g
43.0,708660.0,f
699.0,893704.0,e
261.0,487533.0,d
166.0,28390.0,f
179.0,588809.0,d
705.0,318815.0,b
384.0,164640.0,e
483.0,673764.0,g
954.0,564170.0,d
626.0,474222.0,l
188.0,452759.0,h
99.0,874073.0,d
153.0,139940.0,d
949.0,151784.0,i
780.0,518966.0,f
573.0,915290.0,a
409.0,227258.0,d
186.0,166033.0,b
708.0,951625.0,g
808.0,751927.0,g
625.0,549240.0,e
584.0,590597.0,f
241.0,42600.0,i
545.0,442710.0,k
330.0,635901.0,b
647.0,777646.0,k
434.0,661607.0,d
494.0,681365.0,l
200.0,203204.0,g
348.0,522783.0,d
106.0,471183.0,g
83.0,9839.0,k
914.0,683455.0,a
62.0,68995.0,b
609.0,310560.0,i
589.0,744138.0,h
857.0,498552.0,b
72.0,900219.0,j
243.0,968505.0,j
70.0,968180.0,d
175.0,607730.0,a
295.0,291388.0,d
332.0,272973.0,c
720.0,795314.0,c
975.0,684079.0,h
428.0,345834.0,g
109.0,508301.0,g
959.0,389627.0,k
997.0,605253.0,e
201.0,779855.0,j
369.0,70034.0,e
26.0,259338.0,g
740.0,11595.0,i
990.0,911547.0,g
107.0,545102.0,b
20.0,999590.0,h
979.0,122598.0,f
268.0,352162.0,k
92.0,115838.0,i
217.0,569331.0,d
